timestamp,name,class,level,fcr,teleportTime,killTime
2023-08-25T11:30:07.043Z,sighberthree,Sorceress,95,139,,71407
2023-08-25T11:33:50.750Z,sighberthree,Sorceress,95,139,,42750
2023-08-25T11:45:13.931Z,sighberthree,Sorceress,95,139,,38547
2023-08-25T11:51:02.073Z,sighberthree,Sorceress,95,139,,72422
2023-08-25T12:03:50.168Z,sighberthree,Sorceress,95,139,,44703
2023-08-25T12:08:04.352Z,sighberthree,Sorceress,95,139,,45406
2023-08-25T12:13:08.122Z,sighberthree,Sorceress,95,139,,79266
2023-08-25T12:17:15.791Z,sighberthree,Sorceress,95,139,,36375
2023-08-25T12:24:57.427Z,sighberthree,Sorceress,95,139,,46031
2023-08-25T12:33:21.868Z,sighberthree,Sorceress,95,139,,54016
2023-08-25T12:37:28.428Z,sighberthree,Sorceress,95,139,,52016
2023-08-25T12:44:46.231Z,sighberthree,Sorceress,95,139,,50859
2023-08-25T12:53:17.492Z,sighberthree,Sorceress,95,139,,30000
2023-08-25T13:01:46.560Z,sighberthree,Sorceress,95,139,,65235
2023-08-25T13:09:16.269Z,sighberthree,Sorceress,95,139,,98578
2023-08-25T13:30:41.663Z,sighberthree,Sorceress,95,139,,36828
2023-08-25T13:43:25.722Z,sighberthree,Sorceress,95,139,,80782
2023-08-25T13:51:24.459Z,sighberthree,Sorceress,95,139,,37672
2023-08-25T14:08:01.859Z,sighberthree,Sorceress,95,139,,28594
2023-08-25T14:19:33.835Z,sighberthree,Sorceress,95,139,,46766
2023-08-25T14:43:22.407Z,sighberthree,Sorceress,95,139,,23859
2023-08-25T14:46:56.949Z,sighberthree,Sorceress,95,139,,57297
2023-08-25T14:51:55.814Z,sighberthree,Sorceress,95,139,,53641
2023-08-25T15:04:18.271Z,sighberthree,Sorceress,95,139,,112781
2023-08-25T15:08:53.131Z,sighberthree,Sorceress,95,139,,129281
2023-08-25T15:16:18.888Z,sighberthree,Sorceress,95,139,,48687
2023-08-25T15:23:29.004Z,sighberthree,Sorceress,95,139,,59109
2023-08-25T15:32:51.400Z,sighberthree,Sorceress,95,139,,182109
2023-08-25T15:39:43.484Z,sighberthree,Sorceress,95,139,,70297
2023-08-25T15:43:41.475Z,sighberthree,Sorceress,95,139,,89937
2023-08-25T15:55:54.933Z,sighberthree,Sorceress,95,139,,63500
2023-08-25T16:00:03.140Z,sighberthree,Sorceress,95,139,,50890
2023-08-25T16:04:05.037Z,sighberthree,Sorceress,95,139,,98469
2023-08-25T16:08:56.014Z,sighberthree,Sorceress,95,139,,189953
2023-08-25T16:14:56.110Z,sighberthree,Sorceress,95,139,,35031
2023-08-25T16:29:22.829Z,sighberthree,Sorceress,95,139,,74766
2023-08-25T17:00:32.459Z,sighberthree,Sorceress,95,139,,109562
2023-08-25T17:09:38.096Z,sighberthree,Sorceress,95,139,,94266
2023-08-25T17:14:07.382Z,sighberthree,Sorceress,95,139,,96672
2023-08-25T17:27:47.736Z,sighberthree,Sorceress,95,139,,51141
2023-08-25T17:32:06.863Z,sighberthree,Sorceress,95,139,,53297
2023-08-25T17:47:39.828Z,sighberthree,Sorceress,95,139,,59438
2023-08-25T17:55:49.428Z,sighberthree,Sorceress,95,139,,85656
2023-08-25T18:06:26.466Z,sighberthree,Sorceress,95,139,,92265
2023-08-25T18:18:31.121Z,sighberthree,Sorceress,95,139,,41703
2023-08-25T18:44:11.304Z,sighberthree,Sorceress,95,139,,53672
2023-08-25T19:04:38.445Z,sighberthree,Sorceress,95,139,,28234
2023-08-25T19:19:50.500Z,sighberthree,Sorceress,95,139,,114063
2023-08-25T19:25:48.164Z,sighberthree,Sorceress,95,139,,105610
2023-08-25T20:00:10.869Z,sighberthree,Sorceress,95,139,,56016
2023-08-25T20:12:02.392Z,sighberthree,Sorceress,95,139,,33032
2023-08-25T20:19:58.910Z,sighberthree,Sorceress,95,139,,59234
2023-08-25T20:23:36.071Z,sighberthree,Sorceress,95,139,,52782
2023-08-28T23:07:38.096Z,sighberthree,Sorceress,95,139,,75500
