timestamp,name,class,level,fcr,teleportTime,killTime,dollQuit,soulQuit
2023-08-25T20:47:55.918Z,sighberthree,Sorceress,95,139,9141,,,
2023-08-25T20:51:45.174Z,sighberthree,Sorceress,95,139,10562,,,
2023-08-25T20:57:39.451Z,sighberthree,Sorceress,95,139,6766,,,1
2023-08-25T21:01:16.062Z,sighberthree,Sorceress,95,139,9703,,,
2023-08-25T21:07:32.615Z,sighberthree,Sorceress,95,139,10766,,1,
2023-08-25T21:15:36.208Z,sighberthree,Sorceress,95,139,9188,,,
2023-08-25T21:23:30.552Z,sighberthree,Sorceress,95,139,11609,,,1
2023-08-25T21:27:06.712Z,sighberthree,Sorceress,95,139,10047,,1,
2023-08-25T21:30:50.195Z,sighberthree,Sorceress,95,139,7234,,,1
2023-08-25T21:36:05.864Z,sighberthree,Sorceress,95,139,8532,,1,
2023-08-25T21:46:58.227Z,sighberthree,Sorceress,95,139,9797,,,1
2023-08-25T21:50:38.032Z,sighberthree,Sorceress,95,139,6609,,,
2023-08-25T22:05:48.811Z,sighberthree,Sorceress,95,139,8765,,,
2023-08-25T22:14:28.561Z,sighberthree,Sorceress,95,139,8468,,,
2023-08-26T00:31:57.711Z,sighberthree,Sorceress,95,139,8453,,1,
2023-08-26T00:35:39.721Z,sighberthree,Sorceress,95,139,10172,,,
2023-08-26T00:43:50.352Z,sighberthree,Sorceress,95,139,8157,,,
2023-08-26T00:52:30.166Z,sighberthree,Sorceress,95,139,11313,,,
2023-08-26T00:58:14.981Z,sighberthree,Sorceress,95,139,10969,,1,
2023-08-26T01:01:51.365Z,sighberthree,Sorceress,95,139,12609,,,
2023-08-26T01:08:26.027Z,sighberthree,Sorceress,95,139,9625,,,1
2023-08-26T01:12:20.449Z,sighberthree,Sorceress,95,139,7610,,,1
2023-08-26T01:15:55.873Z,sighberthree,Sorceress,95,139,7594,,,
2023-08-26T01:26:26.342Z,sighberthree,Sorceress,95,139,9531,,,
2023-08-26T12:21:40.465Z,sighberthree,Sorceress,95,139,24266,,,
2023-08-26T12:26:03.811Z,sighberthree,Sorceress,95,139,10844,,1,
2023-08-26T12:30:05.952Z,sighberthree,Sorceress,95,139,11563,,,1
2023-08-26T12:33:42.301Z,sighberthree,Sorceress,95,139,9109,,,
2023-08-26T12:39:24.694Z,sighberthree,Sorceress,95,139,9468,,,
2023-08-26T12:46:38.811Z,sighberthree,Sorceress,95,139,8813,,,
2023-08-26T12:58:44.238Z,sighberthree,Sorceress,95,139,9781,,,1
2023-08-26T13:02:22.629Z,sighberthree,Sorceress,95,139,11641,,,1
2023-08-26T13:06:13.931Z,sighberthree,Sorceress,95,139,10641,,1,
2023-08-26T13:10:03.908Z,sighberthree,Sorceress,95,139,10641,,,
2023-08-26T13:17:16.525Z,sighberthree,Sorceress,95,139,9593,,,
2023-08-26T13:25:04.746Z,sighberthree,Sorceress,95,139,9875,,,
2023-08-26T13:30:42.990Z,sighberthree,Sorceress,95,139,9984,,,1
2023-08-26T13:35:18.684Z,sighberthree,Sorceress,95,139,7891,,,
2023-08-26T13:41:45.363Z,sighberthree,Sorceress,95,139,8469,,,
2023-08-26T13:47:21.765Z,sighberthree,Sorceress,95,139,11563,,,1
2023-08-26T13:52:50.568Z,sighberthree,Sorceress,95,139,9485,,,
2023-08-28T13:28:07.095Z,sighberthree,Sorceress,95,139,8438,,,
2023-08-28T13:31:42.224Z,sighberthree,Sorceress,95,139,10625,,,
2023-08-28T13:38:59.557Z,sighberthree,Sorceress,95,139,10453,,,
2023-08-28T13:42:37.586Z,sighberthree,Sorceress,95,139,8421,,,
2023-08-28T13:47:47.236Z,sighberthree,Sorceress,95,139,9578,,1,
2023-08-28T13:51:23.674Z,sighberthree,Sorceress,95,139,9750,,,
2023-08-28T13:54:59.941Z,sighberthree,Sorceress,95,139,8828,,,
2023-08-28T14:00:49.234Z,sighberthree,Sorceress,95,139,8813,,,
2023-08-28T14:06:21.095Z,sighberthree,Sorceress,95,139,8218,,1,
2023-08-28T14:14:32.844Z,sighberthree,Sorceress,95,139,9188,,,
2023-08-28T14:22:12.259Z,sighberthree,Sorceress,95,139,7875,,,1
2023-08-28T14:25:56.049Z,sighberthree,Sorceress,95,139,9907,,,1
2023-08-28T14:29:32.574Z,sighberthree,Sorceress,95,139,19343,,,
2023-08-28T14:37:18.553Z,sighberthree,Sorceress,95,139,10406,,1,
2023-08-28T14:41:14.402Z,sighberthree,Sorceress,95,139,8797,,,1
2023-08-28T14:44:50.727Z,sighberthree,Sorceress,95,139,7844,,,
2023-08-28T14:52:47.323Z,sighberthree,Sorceress,95,139,10781,,1,
2023-08-28T14:56:24.807Z,sighberthree,Sorceress,95,139,9532,,,
2023-08-28T15:01:25.222Z,sighberthree,Sorceress,95,139,10203,,,
2023-08-28T15:07:12.442Z,sighberthree,Sorceress,95,139,9328,,,
2023-08-28T15:13:58.323Z,sighberthree,Sorceress,95,139,9266,,,
2023-08-28T15:20:40.691Z,sighberthree,Sorceress,95,139,9125,,,
2023-08-28T15:24:18.761Z,sighberthree,Sorceress,95,139,12438,,,1
2023-08-28T15:28:26.714Z,sighberthree,Sorceress,95,139,7687,,,
2023-08-28T15:32:39.159Z,sighberthree,Sorceress,95,139,11625,,,
2023-08-28T15:38:30.279Z,sighberthree,Sorceress,95,139,9031,,,
2023-08-28T15:44:33.763Z,sighberthree,Sorceress,95,139,9109,,,
2023-08-28T15:50:21.423Z,sighberthree,Sorceress,95,139,7219,,1,
2023-08-28T15:53:59.874Z,sighberthree,Sorceress,95,139,10156,,,
2023-08-28T16:00:09.724Z,sighberthree,Sorceress,95,139,9860,,,1
2023-08-28T16:04:10.194Z,sighberthree,Sorceress,95,139,8109,,,
2023-08-28T16:16:41.304Z,sighberthree,Sorceress,95,139,8250,,,
2023-08-28T16:22:02.540Z,sighberthree,Sorceress,95,139,9078,,,
2023-08-28T16:29:38.061Z,sighberthree,Sorceress,95,139,10125,,,1
2023-08-28T16:33:21.128Z,sighberthree,Sorceress,95,139,8844,,,
2023-08-28T16:40:18.947Z,sighberthree,Sorceress,95,139,7781,,,
2023-08-28T16:47:07.858Z,sighberthree,Sorceress,95,139,7563,,,
2023-08-28T18:52:42.554Z,sighberthree,Sorceress,95,139,7281,,,
2023-08-28T18:56:18.965Z,sighberthree,Sorceress,95,139,6485,,1,
2023-08-28T18:59:55.445Z,sighberthree,Sorceress,95,139,11250,,,1
2023-08-28T19:05:28.391Z,sighberthree,Sorceress,95,139,10782,,,1
2023-08-28T19:09:03.775Z,sighberthree,Sorceress,95,139,9203,,,
2023-08-28T19:13:51.879Z,sighberthree,Sorceress,95,139,9109,,,
2023-08-28T19:22:01.725Z,sighberthree,Sorceress,95,139,10859,,,1
2023-08-28T19:25:33.364Z,sighberthree,Sorceress,95,139,8187,,,1
2023-08-28T19:29:51.114Z,sighberthree,Sorceress,95,139,7578,,,
2023-08-28T19:34:00.632Z,sighberthree,Sorceress,95,139,9906,,,1
2023-08-28T19:37:45.307Z,sighberthree,Sorceress,95,139,9094,,,
2023-08-28T19:41:13.504Z,sighberthree,Sorceress,95,139,8187,,,
2023-08-28T19:46:38.101Z,sighberthree,Sorceress,95,139,8782,,,
2023-08-28T19:55:37.686Z,sighberthree,Sorceress,95,139,9125,,,1
2023-08-28T19:59:16.097Z,sighberthree,Sorceress,95,139,12328,,,1
2023-08-28T20:02:47.192Z,sighberthree,Sorceress,95,139,8984,,,
2023-08-28T20:08:17.262Z,sighberthree,Sorceress,95,139,7969,,,
2023-08-28T20:13:24.854Z,sighberthree,Sorceress,95,139,7281,,1,
2023-08-28T20:18:48.000Z,sighberthree,Sorceress,95,139,10578,,,
2023-08-28T20:27:42.392Z,sighberthree,Sorceress,95,139,9250,,,
2023-08-28T20:33:34.270Z,sighberthree,Sorceress,95,139,9031,,,
2023-08-28T20:40:02.477Z,sighberthree,Sorceress,95,139,11704,,,
2023-08-28T20:46:24.449Z,sighberthree,Sorceress,95,139,11094,,,1
2023-08-28T20:50:05.886Z,sighberthree,Sorceress,95,139,8547,,,
2023-08-28T20:56:47.142Z,sighberthree,Sorceress,95,139,11343,,,
2023-08-28T21:03:04.773Z,sighberthree,Sorceress,95,139,8188,,,
2023-08-28T21:07:37.229Z,sighberthree,Sorceress,95,139,8844,,,
2023-08-28T21:13:38.606Z,sighberthree,Sorceress,95,139,9453,,,
2023-08-28T21:22:03.305Z,sighberthree,Sorceress,95,139,8938,,1,
2023-08-28T21:26:20.484Z,sighberthree,Sorceress,95,139,10828,,,1
2023-08-28T21:29:57.054Z,sighberthree,Sorceress,95,139,9906,,,
2023-08-28T21:35:32.737Z,sighberthree,Sorceress,95,139,13610,,1,
2023-08-28T21:44:31.156Z,sighberthree,Sorceress,95,139,7453,,1,
2023-08-28T21:48:05.820Z,sighberthree,Sorceress,95,139,9516,,,
2023-08-28T21:52:05.684Z,sighberthree,Sorceress,95,139,11781,,1,
2023-08-28T21:55:50.381Z,sighberthree,Sorceress,95,139,9375,,,1
2023-08-28T22:03:04.411Z,sighberthree,Sorceress,95,139,9594,,,1
2023-08-28T22:10:17.438Z,sighberthree,Sorceress,95,139,7859,,,1
2023-08-28T22:14:10.957Z,sighberthree,Sorceress,95,139,8469,,,
2023-08-28T22:19:57.486Z,sighberthree,Sorceress,95,139,7703,,,1
2023-08-28T22:23:41.271Z,sighberthree,Sorceress,95,139,6375,,,
2023-08-28T22:27:18.272Z,sighberthree,Sorceress,95,139,16687,,,
2023-08-28T22:33:15.469Z,sighberthree,Sorceress,95,139,9203,,,
2023-08-28T22:49:15.629Z,sighberthree,Sorceress,95,139,8562,,,
2023-08-28T22:56:49.374Z,sighberthree,Sorceress,95,139,10625,,,
2023-08-28T23:03:32.508Z,sighberthree,Sorceress,95,139,11000,,,1
2023-08-28T23:07:08.860Z,sighberthree,Sorceress,95,139,7235,,,1
2023-08-28T23:11:13.646Z,sighberthree,Sorceress,95,139,7438,,1,
2023-08-28T23:19:53.558Z,sighberthree,Sorceress,95,139,9984,,,
2023-08-28T23:23:34.952Z,sighberthree,Sorceress,95,139,27469,,,1
2023-08-28T23:27:46.145Z,sighberthree,Sorceress,95,139,9469,,1,
2023-08-28T23:31:22.415Z,sighberthree,Sorceress,95,139,10500,,,1
2023-08-28T23:38:38.475Z,sighberthree,Sorceress,95,139,9125,,,1
2023-08-28T23:42:14.706Z,sighberthree,Sorceress,95,139,9485,,,1
